STATUS,SKU,KATEGORI_CSV,CATEGORY_ID_DB
OK,PP0000001,"LURUS PNEUMATIC",1
OK,PP0000002,"LURUS PNEUMATIC",1
OK,PP0000003,"LURUS PNEUMATIC",1
OK,PP0000004,"LURUS PNEUMATIC",1
OK,PP0000005,"LURUS PNEUMATIC",1
OK,PP0000006,"LURUS PNEUMATIC",1
OK,PP0000007,"LURUS PNEUMATIC",1
OK,PP0000008,"LURUS PNEUMATIC",1
OK,PP0000009,"LURUS PNEUMATIC",1
OK,PP0000010,"LURUS PNEUMATIC",1
OK,PP0000011,"LURUS PNEUMATIC",1
OK,PP0000012,"LURUS PNEUMATIC",1
OK,PP0000013,"LURUS PNEUMATIC",1
OK,PP0000014,"LURUS PNEUMATIC",1
OK,PP0000015,"LURUS PNEUMATIC",1
OK,PP0000016,"LURUS PNEUMATIC",1
OK,PP0000017,"LURUS PNEUMATIC",1
OK,PP0000018,"LURUS PNEUMATIC",1
OK,PP0000019,"LURUS PNEUMATIC",1
OK,PP0000020,"LURUS PNEUMATIC",1
OK,PP0000021,"LURUS PNEUMATIC",1
OK,PP0000022,"LURUS PNEUMATIC",1
OK,PP0000023,"LURUS PNEUMATIC",1
OK,PP0000024,"LURUS PNEUMATIC",1
OK,PP0000025,"LURUS PNEUMATIC",1
OK,PP0000026,"LURUS PNEUMATIC",1
OK,PP0000027,"LURUS PNEUMATIC",1
OK,PP0000028,"LURUS PNEUMATIC",1
OK,PP0000029,"LURUS PNEUMATIC",1
OK,PP0000030,"LURUS PNEUMATIC",1
OK,PP0000031,"LURUS PNEUMATIC",1
OK,PP0000032,"LURUS PNEUMATIC",1
OK,PP0000033,"LURUS PNEUMATIC",1
OK,PP0000034,"LURUS PNEUMATIC",1
OK,PP0000035,"LURUS PNEUMATIC",1
OK,PP0000036,"LURUS PNEUMATIC",1
OK,PP0000037,"LURUS PNEUMATIC",1
OK,PP0000038,"LURUS PNEUMATIC",1
OK,PP0000039,"LURUS PNEUMATIC",1
OK,PP0000040,"LURUS PNEUMATIC",1
OK,PP0000041,"LURUS PNEUMATIC",1
OK,PP0000042,"LURUS PNEUMATIC",1
OK,PP0000043,"LURUS PNEUMATIC",1
OK,PP0000044,"ELBOW PNEUMATIC",2
OK,PP0000045,"ELBOW PNEUMATIC",2
OK,PP0000046,"ELBOW PNEUMATIC",2
OK,PP0000047,"ELBOW PNEUMATIC",2
OK,PP0000048,"ELBOW PNEUMATIC",2
OK,PP0000049,"ELBOW PNEUMATIC",2
OK,PP0000050,"ELBOW PNEUMATIC",2
OK,PP0000051,"ELBOW PNEUMATIC",2
OK,PP0000052,"ELBOW PNEUMATIC",2
OK,PP0000053,"ELBOW PNEUMATIC",2
OK,PP0000054,"ELBOW PNEUMATIC",2
OK,PP0000055,"ELBOW PNEUMATIC",2
OK,PP0000056,"ELBOW PNEUMATIC",2
OK,PP0000057,"ELBOW PNEUMATIC",2
OK,PP0000058,"ELBOW PNEUMATIC",2
OK,PP0000059,"ELBOW PNEUMATIC",2
OK,PP0000060,"ELBOW PNEUMATIC",2
OK,PP0000061,"ELBOW PNEUMATIC",2
OK,PP0000062,"ELBOW PNEUMATIC",2
OK,PP0000063,"ELBOW PNEUMATIC",2
OK,PP0000064,"ELBOW PNEUMATIC",2
OK,PP0000065,"ELBOW PNEUMATIC",2
OK,PP0000066,"ELBOW PNEUMATIC",2
OK,PP0000067,"ELBOW PNEUMATIC",2
OK,PP0000068,"ELBOW PNEUMATIC",2
OK,PP0000069,"ELBOW PNEUMATIC",2
OK,PP0000070,"ELBOW PNEUMATIC",2
OK,PP0000071,"ELBOW PNEUMATIC",2
OK,PP0000072,"ELBOW PNEUMATIC",2
OK,PP0000073,"ELBOW PNEUMATIC",2
OK,PP0000074,"ELBOW PNEUMATIC",2
OK,PP0000075,"ELBOW PNEUMATIC",2
OK,PP0000076,"ELBOW PNEUMATIC",2
OK,PP0000077,"ELBOW PNEUMATIC",2
OK,PP0000078,"ELBOW PNEUMATIC",2
OK,PP0000079,"ELBOW PNEUMATIC",2
OK,PP0000080,"ELBOW PNEUMATIC",2
OK,PP0000081,"ELBOW PNEUMATIC",2
OK,PP0000082,"ELBOW PNEUMATIC",2
OK,PP0000083,"ELBOW PNEUMATIC",2
OK,PP0000084,"ELBOW PNEUMATIC",2
OK,PP0000085,"ELBOW PNEUMATIC",2
OK,PP0000086,"TEE PNEUMATIC",3
OK,PP0000087,"TEE PNEUMATIC",3
OK,PP0000088,"TEE PNEUMATIC",3
OK,PP0000089,"TEE PNEUMATIC",3
OK,PP0000090,"TEE PNEUMATIC",3
OK,PP0000091,"TEE PNEUMATIC",3
OK,PP0000092,"TEE PNEUMATIC",3
OK,PP0000093,"TEE PNEUMATIC",3
OK,PP0000094,"TEE PNEUMATIC",3
OK,PP0000095,"TEE PNEUMATIC",3
OK,PP0000096,"TEE PNEUMATIC",3
OK,PP0000097,"TEE PNEUMATIC",3
OK,PP0000098,"TEE PNEUMATIC",3
OK,PP0000099,"TEE PNEUMATIC",3
OK,PP0000100,"TEE PNEUMATIC",3
OK,PP0000101,"TEE PNEUMATIC",3
OK,PP0000102,"TEE PNEUMATIC",3
OK,PP0000103,"TEE PNEUMATIC",3
OK,PP0000104,"TEE PNEUMATIC",3
OK,PP0000105,"TEE PNEUMATIC",3
OK,PP0000106,"TEE PNEUMATIC",3
OK,PP0000107,"TEE PNEUMATIC",3
OK,PP0000108,"TEE PNEUMATIC",3
OK,PP0000109,"TEE PNEUMATIC",3
OK,PP0000110,"TEE PNEUMATIC",3
OK,PP0000111,"TEE PNEUMATIC",3
OK,PP0000112,"TEE PNEUMATIC",3
OK,PP0000113,"TEE PNEUMATIC",3
OK,PP0000114,"TEE PNEUMATIC",3
OK,PP0000115,"TEE PNEUMATIC",3
OK,PP0000116,"TEE PNEUMATIC",3
OK,PP0000117,"TEE PNEUMATIC",3
OK,PP0000118,"TEE PNEUMATIC",3
OK,PP0000119,"TEE PNEUMATIC",3
OK,PP0000120,"TEE PNEUMATIC",3
OK,PP0000121,"TEE PNEUMATIC",3
OK,PP0000122,"Y PNEUMATIC",4
OK,PP0000123,"Y PNEUMATIC",4
OK,PP0000124,"Y PNEUMATIC",4
OK,PP0000125,"Y PNEUMATIC",4
OK,PP0000126,"Y PNEUMATIC",4
OK,PP0000127,"Y PNEUMATIC",4
OK,PP0000128,"Y PNEUMATIC",4
OK,PP0000129,"Y PNEUMATIC",4
OK,PP0000130,"Y PNEUMATIC",4
OK,PP0000131,"Y PNEUMATIC",4
OK,PP0000132,"Y PNEUMATIC",4
OK,PP0000133,"Y PNEUMATIC",4
OK,PP0000134,"Y PNEUMATIC",4
OK,PP0000135,"Y PNEUMATIC",4
OK,PP0000136,"Y PNEUMATIC",4
OK,PP0000137,"Y PNEUMATIC",4
OK,PP0000138,"Y PNEUMATIC",4
OK,PP0000139,"Y PNEUMATIC",4
OK,PP0000140,"CONTROLLER PNEUMATIC",5
OK,PP0000141,"CONTROLLER PNEUMATIC",5
OK,PP0000142,"CONTROLLER PNEUMATIC",5
OK,PP0000143,"CONTROLLER PNEUMATIC",5
OK,PP0000144,"CONTROLLER PNEUMATIC",5
OK,PP0000145,"CONTROLLER PNEUMATIC",5
OK,PP0000146,"CONTROLLER PNEUMATIC",5
OK,PP0000147,"CONTROLLER PNEUMATIC",5
OK,PP0000148,"CONTROLLER PNEUMATIC",5
OK,PP0000149,"CONTROLLER PNEUMATIC",5
OK,PP0000150,"CONTROLLER PNEUMATIC",5
OK,PP0000151,"CONTROLLER PNEUMATIC",5
OK,PP0000152,"CONTROLLER PNEUMATIC",5
OK,PP0000153,"CONTROLLER PNEUMATIC",5
OK,PP0000154,"CONTROLLER PNEUMATIC",5
OK,PP0000155,"CONTROLLER PNEUMATIC",5
OK,PP0000156,"CONTROLLER PNEUMATIC",5
OK,PP0000157,"CONTROLLER PNEUMATIC",5
OK,PP0000158,"CONTROLLER PNEUMATIC",5
OK,PP0000159,"CONTROLLER PNEUMATIC",5
OK,PP0000160,"TEE PNEUMATIC",3
OK,PP0000161,"TEE PNEUMATIC",3
OK,PP0000162,"TEE PNEUMATIC",3
OK,PP0000163,"TEE PNEUMATIC",3
OK,PP0000164,"TEE PNEUMATIC",3
OK,PP0000165,"TEE PNEUMATIC",3
OK,PP0000166,"TEE PNEUMATIC",3
OK,PP0000167,"TEE PNEUMATIC",3
OK,PP0000168,"TEE PNEUMATIC",3
